Timestamp,Onepiece rating,Taylor Swift haters,Game genre,Dinner response,Tiredness rating
9/29/2025 17:33:07,8,2,RPG,Steak,9
9/29/2025 18:36:59,5,5,Simluation,Steak,8
9/29/2025 18:37:22,5,7,Puzzles,Noodles,5
9/29/2025 18:37:23,9,4,Action-adventure,Pasta,6
9/29/2025 18:37:55,9,1,Adventure,Shawarma,6
9/29/2025 18:38:18,3,2,Shooter,Pasta,8
9/29/2025 18:38:30,5,6,Shooter,Steak,9
9/29/2025 18:38:31,1,2,Action-adventure,Biryani,2
9/29/2025 18:38:33,8,4,Puzzles,Dumpling,7
9/29/2025 18:38:33,5,5,RPG,Chicken Curry,8
9/29/2025 18:38:35,5,3,Simluation,Biryani,9
9/29/2025 18:38:41,6,3,Action,Lasagna,7
9/29/2025 18:38:55,5,3,Action-adventure,Steak,7
9/29/2025 18:38:57,8,6,Puzzles,Shawarma,8
9/29/2025 18:39:06,7,2,RPG,Ramen,3
9/29/2025 18:39:22,5,3,RPG,Sashimi,5
9/29/2025 18:39:27,9,7,Simluation,Fried Chicken,8
9/29/2025 18:39:28,8,7,RPG,Steak,6
9/29/2025 18:39:28,1,9,Simluation,Buffalo Wings,9
9/29/2025 18:39:35,5,4,Simluation,Pasta,8
9/29/2025 18:39:46,5,4,RPG,Pasta,9
9/29/2025 18:39:50,6,7,Shooter,Lasagna,8
9/29/2025 18:39:51,5,6,Simluation,Lasagna,9
9/29/2025 18:40:07,5,7,Puzzles,Sushi,7
9/29/2025 18:40:09,6,4,RPG,Ramen,8
9/29/2025 18:40:14,5,6,RPG,Noodles,8
9/29/2025 18:40:15,8,8,Simluation,Fried Chicken,9
9/29/2025 18:40:22,8,2,Simluation,Pizza,6
9/29/2025 18:40:27,8,5,Action-adventure,Steak,5
9/29/2025 18:41:43,7,6,Simluation,Ramen,8
9/29/2025 18:41:53,5,5,Puzzles,Sushi,9
9/29/2025 18:41:58,1,5,Simluation,Sushi,8
9/29/2025 18:41:59,5,5,Puzzles,Ramen,6
9/29/2025 18:42:10,1,9,Simluation,Pasta,9
9/29/2025 18:42:22,8,5,Action-adventure,Fried Chicken,8
9/29/2025 18:42:28,5,5,Simluation,Shawarma,9
9/29/2025 18:42:36,7,6,RPG,Fried Rice,8
9/29/2025 18:42:45,5,1,Strategy,Shawarma,5
9/29/2025 18:43:13,9,3,Simluation,Fried Chicken,4
9/29/2025 18:43:18,3,3,Puzzles,Shawarma,9
9/29/2025 18:44:40,1,2,Adventure,Samosa,9
9/29/2025 18:44:56,7,6,Puzzles,Steak,3